gene_accession_id,MGI:87968
gene_symbol,Ahcy
mouse_strain,C57BL
mouse_life_stage,E9.5
parameter_id,IMPC_HEM_036_001
pvalue,0.1430457
parameter_name,Eosinophil cell count
analysis_id,90f695vdfw53r26
