analysis_id,n9890s9209c5t0f
pvalue,0.9412475
gene_symbol,Hpca
parameter_name,Bone Area
mouse_life_stage,Middle aged adult
mouse_strain,C57BL
parameter_id,IMPC_DXA_010_001
gene_accession_id,MGI:1336200
