parameter_name,Eye
analysis_id,67z881902g1d6y2
mouse_strain,C57BL
gene_accession_id,MGI:107414
pvalue,0.1601506
parameter_id,M-G-P_013_001_001
mouse_life_stage,Early adult
gene_symbol,Tnfsf10
