analysis_id,1jzq6638c1qc550
gene_symbol,Kdm4c
parameter_name,Number of rears - total
gene_accession_id,MGI:1924054
mouse_life_stage,Early adult
parameter_id,JAX_OFD_021_001
mouse_strain,C57BL
pvalue,0.6482157
