analysis_id,9ge274k5b200bzn
parameter_name,% Freezing duration pre-cue-2
mouse_strain,C57BL
gene_symbol,Tnfsf8
gene_accession_id,MGI:88328
mouse_life_stage,Early adult
parameter_id,ICS_FEA_019_001
pvalue,0.7562611
