parameter_name,Eyelid morphology
parameter_id,IMPC_EYE_004_001
pvalue,0.9958728
gene_accession_id,MGI:2674093
mouse_life_stage,Early adult
analysis_id,dj7ephg0k2lqxai
gene_symbol,Psd4
mouse_strain,C57BL
