analysis_id,7m7f02e3kxoie78
gene_accession_id,MGI:1920638
parameter_id,IMPC_HEM_019_001
mouse_life_stage,Early adult
pvalue,0.1814342
mouse_strain,129SV
parameter_name,Mean platelet volume
gene_symbol,Bpifa3
