parameter_id,IMPC_XRY_002_001
analysis_id,ruzl8x27pis3i12
gene_accession_id,MGI:99501
mouse_life_stage,E12.5
gene_symbol,Fgb
parameter_name,Zygomatic bone
mouse_strain,C57BL
pvalue,0.8364425
