analysis_id,742ssew55376481
pvalue,0.9731992
gene_symbol,Secisbp2l
parameter_id,MGP_BMI_014_001
mouse_strain,C57BL
gene_accession_id,MGI:1917604
parameter_name,Mature B cells (Hardy fraction F) - % of CD45+
mouse_life_stage,Late adult
