parameter_name,Sacral processes
gene_symbol,Lpgat1
parameter_id,IMPC_XRY_066_001
mouse_strain,C57BL
analysis_id,0a2x402wfm5l635
mouse_life_stage,Early adult
gene_accession_id,MGI:2446186
pvalue,0.9864608
