gene_symbol,Tnni1
parameter_name,Body Weight
analysis_id,l7794s021318lh9
mouse_life_stage,Early adult
mouse_strain,C57BL
pvalue,0.2755251
parameter_id,M-G-P_012_001_005
gene_accession_id,MGI:105073
