analysis_id,z912873veqxy90q
gene_accession_id,MGI:1914050
pvalue,0.09336761
mouse_strain,C57BL
parameter_name,Number of rears - total
mouse_life_stage,Early adult
gene_symbol,Trp53rkb
parameter_id,IMPC_OFD_021_001
