analysis_id,ha20psk6onfj078
parameter_name,Body position
pvalue,0.4838849
mouse_life_stage,Early adult
gene_accession_id,MGI:1917810
mouse_strain,C57BL
parameter_id,ESLIM_008_001_001
gene_symbol,Wars2
