gene_symbol,Mecom
parameter_id,IMPC_ACS_037_001
mouse_strain,C3H
parameter_name,% Pre-pulse inhibition - Global
analysis_id,2t5pc8yuj0nu103
pvalue,0.7535961
gene_accession_id,MGI:95457
mouse_life_stage,Early adult
