analysis_id,0xk92q4h9ww17om
gene_accession_id,MGI:2444113
parameter_id,HMGULA_CBC_015_001
mouse_strain,C57BL
parameter_name,Total cholesterol
mouse_life_stage,Early adult
gene_symbol,Nemp2
pvalue,0.1213456
