gene_symbol,Bmi1
analysis_id,782i042flu9d5dt
pvalue,0.6933303
mouse_strain,C57BL
parameter_id,IMPC_CSD_012_001
parameter_name,Coat - hair distribution - head
gene_accession_id,MGI:88174
mouse_life_stage,E12.5
