parameter_name,Whole arena average speed
gene_symbol,Tnni1
analysis_id,3fd7h285k724662
pvalue,0.9777444
mouse_strain,C57BL
parameter_id,IMPC_OFD_009_001
gene_accession_id,MGI:105073
mouse_life_stage,Early adult
