parameter_name,Dark side time spent
parameter_id,JAX_LDT_004_001
pvalue,0.6833577
mouse_strain,C57BL
gene_accession_id,MGI:1919949
mouse_life_stage,Early adult
gene_symbol,Lime1
analysis_id,9i2v2f0c1rqqg2j
