analysis_id,7fi8544e2wd0ba2
gene_symbol,Cds2
mouse_strain,129SV
parameter_id,IMPC_GEL_017_002
gene_accession_id,MGI:1332236
mouse_life_stage,Early adult
parameter_name,Pale yolk sac
pvalue,0.1198726
