analysis_id,70v9bfz34z16qmd
gene_symbol,Zfp683
mouse_strain,C52BL
parameter_id,JAX_OFD_009_001
mouse_life_stage,Early adult
gene_accession_id,MGI:3650254
pvalue,0.8005585
parameter_name,Whole arena average speed
