analysis_id,718scnc8o6r23c0
parameter_name,Transitional 1 B cells - % of CD45+
pvalue,0.4058149
gene_symbol,Slc17a9
mouse_strain,C57BL
parameter_id,MGP_IMM_110_001
mouse_life_stage,Early adult
gene_accession_id,MGI:1919107
