analysis_id,15gaubn271hk127
mouse_life_stage,Late adult
mouse_strain,C57BL
pvalue,0.831682
parameter_id,MGP_MLN_076_001
parameter_name,Naive CD8+ T cells - % of CD45+
gene_symbol,AU040320
gene_accession_id,MGI:2140475
