analysis_id,1y3cbx07090e8w0
parameter_id,MGP_IMM_089_001
mouse_life_stage,Early adult
gene_symbol,Cds2
gene_accession_id,MGI:1332236
mouse_strain,129SV
parameter_name,KLRG1+ gd T cells - % of CD45+
pvalue,0.4130982
