mouse_life_stage,Early adult
mouse_strain,129SV
gene_accession_id,MGI:104848
pvalue,0.1411543
analysis_id,26zc75wgp1d392u
parameter_name,12kHz-evoked ABR Threshold
parameter_id,IMPC_ABR_006_001
gene_symbol,Inpp1
