analysis_id,of458956z67fc31
parameter_id,IMPC_HEM_031_001
mouse_strain,C57BL
gene_accession_id,MGI:2685277
parameter_name,Lymphocyte differential count
gene_symbol,Zyg11b
pvalue,0.2249067
mouse_life_stage,E18.5
