gene_symbol,Inpp1
parameter_name,Mature B cells (Hardy fraction F) - % of CD45+
pvalue,1.197952
analysis_id,5385k5650n53jg4
parameter_id,MGP_BMI_014_001
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_accession_id,MGI:104848
