analysis_id,4353i3l4casvs27
gene_accession_id,MGI:2444113
mouse_life_stage,Early adult
parameter_name,KLRG1+ mature NK cell percentage
parameter_id,MGP_PBI_011_001
gene_symbol,Nemp2
mouse_strain,C57BL
pvalue,0.6012463
