analysis_id,60tf1rkvzs09rdm
pvalue,0.7792749
mouse_life_stage,Early adult
gene_accession_id,MGI:1918025
gene_symbol,Zmynd8
parameter_id,IMPC_IMM_071_001
parameter_name,MZB (CD21/35 high)
mouse_strain,C57BL
