analysis_id,086zi58p2ek710j
mouse_strain,129SV
gene_accession_id,MGI:99605
parameter_id,IMPC_XRY_067_001
parameter_name,Caudal processes
mouse_life_stage,Early adult
pvalue,0.1502893
gene_symbol,Cntfr
