analysis_id,952t7i21547b4m1
parameter_name,Neutrophils
mouse_strain,C57BL
parameter_id,IMPC_IMM_050_001
mouse_life_stage,Early adult
pvalue,0.9017712
gene_accession_id,MGI:1927379
gene_symbol,Rhbg
