analysis_id,a581nd5lv2rzkf4
parameter_id,JAXLA_HBD_001_001
pvalue,0.7666275
mouse_strain,C57BL
parameter_name,Total holepokes
mouse_life_stage,Early adult
gene_symbol,Psmd14
gene_accession_id,MGI:1913284
