gene_symbol,Zcchc2
mouse_strain,C57BL
analysis_id,bd6u3l815ozpy73
pvalue,0.656738
parameter_name,End-Systolic Diameter
parameter_id,IMPC_ECH_001_001
mouse_life_stage,Early adult
gene_accession_id,MGI:2444114
