analysis_id,v205u09361zow46
mouse_strain,C57BL
gene_accession_id,MGI:1345282
parameter_id,MGP_IMM_130_001
mouse_life_stage,Early adult
parameter_name,CD11b-low cDC - % of CD45+
gene_symbol,Slc30a4
pvalue,0.9102579
