parameter_id,JAXLA_CSD_007_001
pvalue,0.8279197
gene_accession_id,MGI:1917604
mouse_strain,C57BL
parameter_name,Coat - color - abdomen
analysis_id,e1ml17q25i5x63t
mouse_life_stage,Early adult
gene_symbol,Secisbp2l
