parameter_name,B1B Cells
pvalue,0.4435292
mouse_strain,C57BL
gene_symbol,Ola1
parameter_id,IMPC_IMM_064_001
mouse_life_stage,Early adult
analysis_id,5e7sxbvnv4gxy9y
gene_accession_id,MGI:1914309
