gene_symbol,Ap5s1
parameter_id,MGP_IMM_020_001
gene_accession_id,MGI:1916846
parameter_name,Effector gd T cells - % of gd T cells
mouse_strain,C57BL
analysis_id,s06z4f3ock069v2
pvalue,0.6108813
mouse_life_stage,Early adult
