analysis_id,yf19xc50l77e73s
mouse_life_stage,Late adult
pvalue,0.5091529
parameter_name,Total cholesterol
gene_symbol,Snap23
parameter_id,IMPC_CBC_015_001
mouse_strain,C57BL
gene_accession_id,MGI:109356
