gene_symbol,Lpgat1
mouse_life_stage,Middle aged adult
mouse_strain,C57BL
parameter_name,Shape of vertebrae
pvalue,0.630827
parameter_id,IMPC_XRY_018_001
analysis_id,8r74fd2y078l284
gene_accession_id,MGI:2446186
