parameter_name,Hematocrit
pvalue,0.6011474
gene_symbol,Sfpq
gene_accession_id,MGI:1918764
mouse_strain,C57BL
mouse_life_stage,Early adult
analysis_id,6l7ng2a7zizgicm
parameter_id,IMPC_HEM_004_001
