gene_symbol,Ola1
parameter_name,Periphery resting time
mouse_strain,C57BL
parameter_id,HRWLLA_OFD_011_001
pvalue,0.267892
gene_accession_id,MGI:1914309
mouse_life_stage,Early adult
analysis_id,f2500m5df7856zc
