parameter_name,White blood cell count
mouse_strain,C57BL
mouse_life_stage,E12.5
gene_symbol,Tiprl
parameter_id,HMGULA_HEM_001_001
gene_accession_id,MGI:1915087
pvalue,0.5921112
analysis_id,1d1xu06ej0850i5
