gene_symbol,Rnf114
mouse_strain,C57BL
gene_accession_id,MGI:1933159
mouse_life_stage,Early adult
pvalue,0.5677502
parameter_id,MGP_MLN_072_001
analysis_id,b4wcio133nhhol0
parameter_name,KLRG1+ Treg cells - % of CD45+
