gene_symbol,Ilkap
pvalue,0.3398189
parameter_name,Total CD4+ T cells - % of ab T cells
mouse_life_stage,Early adult
mouse_strain,C57BL
analysis_id,e6ei46506su48g3
parameter_id,MGP_IMM_004_001
gene_accession_id,MGI:1914694
