analysis_id,fu2d34s00246s17
parameter_name,Embryo Size
mouse_strain,C53BL
mouse_life_stage,E18.5
pvalue,0.3532953
gene_accession_id,MGI:1914561
parameter_id,IMPC_GEO_019_001
gene_symbol,Nanp
