gene_symbol,Mgst2
mouse_life_stage,Early adult
parameter_name,Head coat/hair presence
Analysis_id,6gsp32767w74737
Pvalue,0.3781419
Mouse_strain,C57BL
Parameter_id,MGP_CSD_015_001
Gene_accession_id,MGI:2448481
