parameter_name,Right kidney weight
parameter_id,IMPC_OWT_004_001
pvalue,0.1838401
gene_symbol,Arpc5l
mouse_strain,C57BL
analysis_id,ghj0qpw64lz34wq
gene_accession_id,MGI:1921442
mouse_life_stage,Early adult
