analysis_id,qhgc5tz1ag00l9q
gene_accession_id,MGI:1923959
parameter_name,Skull shape
pvalue,0.9397577
parameter_id,CCP_XRY_001_001
mouse_life_stage,Early adult
gene_symbol,Arpc2
mouse_strain,129SV
