gene_symbol,Hpca
parameter_id,IMPC_XRY_018_001
analysis_id,rg12d8zi40a0vbs
pvalue,0.9870814
mouse_strain,C57BL
parameter_name,Shape of vertebrae
gene_accession_id,MGI:1336200
mouse_life_stage,Middle aged adult
