gene_symbol,Trpa1
parameter_id,MGP_MLN_072_001
mouse_strain,C57BL
analysis_id,vkehr184zcg0x13
parameter_name,KLRG1+ Treg cells - % of CD45+
mouse_life_stage,Early adult
gene_accession_id,MGI:3522699
pvalue,0.7594232
