analysis_id,e6i6d26gx5e626j
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_id,IMPC_ECG_028_001
gene_accession_id,MGI:1339969
parameter_name,QT
pvalue,0.5913024
gene_symbol,Gja10
