analysis_id,f3108rq12462wr8
gene_accession_id,MGI:1336200
mouse_strain,C57BL
mouse_life_stage,Late adult
parameter_name,Calcium
parameter_id,HMGULA_CBC_009_001
gene_symbol,Hpca
pvalue,0.2596445
