analysis_id,3t9ma5wc87iq8at
pvalue,0.9589028
mouse_strain,C57BL
gene_accession_id,MGI:1921493
gene_symbol,Slx4ip
mouse_life_stage,Early adult
parameter_id,MGP_IMM_015_001
parameter_name,Resting CD8+ T cells - % of CD8+
