analysis_id,fzqh859u2x34245
mouse_strain,C57BL
parameter_name,Glucose
parameter_id,HMGULA_CBC_018_001
gene_accession_id,MGI:97838
gene_symbol,Eprs1
pvalue,0.5162593
mouse_life_stage,E9.5
