parameter_name,Body length
parameter_id,IMPC_DXA_006_001
gene_symbol,Ints7
analysis_id,26t3cs8k9985rq2
mouse_strain,C57BL
pvalue,0.6107476
gene_accession_id,MGI:1924315
mouse_life_stage,Early adult
