gene_symbol,Bcs1l
gene_accession_id,MGI:1914071
parameter_id,IMPC_OFD_007_001
pvalue,0.4957151
mouse_strain,C57BL
parameter_name,Whole arena resting time
mouse_life_stage,E9.5
analysis_id,mk3i876bhm4nh61
