gene_symbol,Ncaph
pvalue,1.051214
gene_accession_id,MGI:2444777
parameter_name,B2B Cells
mouse_life_stage,Early adult
parameter_id,IMPC_IMM_065_001
analysis_id,i7n7r7ug30x857b
mouse_strain,C57BL
