analysis_id,9w05904fqi2e12b
pvalue,0.9095121
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_symbol,Ap5s1
parameter_id,MGP_IMM_094_001
parameter_name,KLRG1+ CD4- NKT cells - % of CD45+
gene_accession_id,MGI:1916846
