gene_symbol,Ahctf1
analysis_id,s8vgq06491ns00b
gene_accession_id,MGI:1915033
mouse_life_stage,Early adult
pvalue,0.132899
parameter_id,HMGULA_CBC_017_001
parameter_name,Triglycerides
mouse_strain,C57BL
