parameter_id,JAX_LDT_008_001
mouse_life_stage,Early adult
gene_accession_id,MGI:1332236
pvalue,0.3667142
mouse_strain,129SV
parameter_name,Percent time in dark
analysis_id,6bsnie0d4p7k0s5
gene_symbol,Cds2
