parameter_name,Neutrophil differential count
analysis_id,c71fg1e4j21n5to
mouse_strain,C56BL
pvalue,0.9045805
gene_accession_id,MGI:1332236
mouse_life_stage,Early adult
gene_symbol,Cds2
parameter_id,IMPC_HEM_029_001
