parameter_id,JAX_SLW_013_001
pvalue,0.3347069
mouse_strain,C57BL
analysis_id,s8uwcbcl7196gr6
gene_accession_id,MGI:1916846
mouse_life_stage,Early adult
gene_symbol,Ap5s1
parameter_name,Breath rate during sleep mean
