analysis_id,a961wx4bkd8y2c1
mouse_strain,C57BL
parameter_name,Hemorrhage
gene_symbol,Ssr2
mouse_life_stage,Early adult
parameter_id,IMPC_GEO_009_002
gene_accession_id,MGI:1913506
pvalue,0.6206482
