analysis_id,t6okx5bks5s32s4
gene_symbol,Mapkap1
mouse_strain,C57BL
parameter_id,IMPC_CBC_003_001
gene_accession_id,MGI:2444554
parameter_name,Chloride
mouse_life_stage,Early adult
pvalue,0.940807
