parameter_id,JAXLA_ECG_002_001
parameter_name,HR
pvalue,0.9929453
mouse_life_stage,E12.5
mouse_strain,C57BL
gene_accession_id,MGI:99501
analysis_id,i1f08w83h7r02zy
gene_symbol,Fgb
